NaN,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
7750,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7750.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7751,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7751.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7752,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7752.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7753,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7753.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7754,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7754.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7755,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7755.5,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7756,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7756.5,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7757,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7757.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7758,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7758.5,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7759,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
7759.5,42,42,42,27,27,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,49,49,49
