NaN,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
8750,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8751,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,49,49
8752,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,49,49
8753,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,49,49
8754,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,49,49
8755,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8756,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8757,27,27,27,27,27,27,27,27,27,27,27,35,35,35,35,35,35,49,49
8758,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8759,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8760,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,49
8761,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8762,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8763,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49,49,49
8764,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49,49,49
8765,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49,49,49
8766,19,19,19,19,19,19,19,19,19,18,18,18,18,18,49,49,49,49,49
8767,26,26,26,26,26,26,26,26,26,26,26,26,47,20,20,20,49,49,49
8768,26,26,26,26,26,26,26,26,26,26,26,26,47,20,20,20,49,49,49
8769,26,26,26,26,26,26,26,26,26,26,26,26,47,20,20,20,49,49,49
8770,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8771,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8772,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8773,41,41,41,41,41,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8774,26,26,26,26,26,26,26,26,26,26,26,26,47,20,20,20,49,49,49
8775,26,26,26,26,26,26,26,26,26,26,26,26,47,20,20,20,49,49,49
8776,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8777,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8778,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8779,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8780,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8781,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8782,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8783,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
8784,34,34,34,34,34,34,34,34,34,34,20,20,20,20,20,20,49,49,49
