NaN,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
10550,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10551,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10551,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10552,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10552,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10553,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10553,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10554,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10554,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10555,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10555,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49
10556,6,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10556,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,43,49
10557,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,43,49
10557,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,43,49
10558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10558,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10559,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10559,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10560,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10560,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10561,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10561,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10562,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10562,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10563,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10563,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10564,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10564,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10565,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10565,30,30,23,23,23,23,23,23,24,31,31,31,31,31,43,43,43,43,49
10566,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10566,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10567,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10567,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10568,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10568,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10569,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10569,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10570,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10570,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10571,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10571,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10572,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10572,10,10,10,17,17,17,17,17,17,17,18,18,49,49,49,49,49,49,49
10573,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10573,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,43,49
10574,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,43,49
10574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10575,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10575,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10576,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10576,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10577,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10579,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10579,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10580,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10580,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10581,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10581,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10582,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10582,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10583,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10583,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10584,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10584,29,29,29,29,29,29,29,29,29,29,29,15,15,15,15,15,1,43,49
10585,29,29,29,29,29,29,29,29,29,29,29,15,15,15,15,15,1,43,49
10585,29,29,29,29,29,29,29,29,29,29,29,15,15,15,15,15,1,43,49
10586,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10586,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10587,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,49
10587,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10588,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10588,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10589,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10589,29,29,29,29,29,29,29,29,29,29,29,15,15,15,15,15,1,43,49
10590,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10590,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10591,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10591,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10592,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10592,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,43,49
10593,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10593,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10594,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10594,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10595,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10595,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10596,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10596,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10597,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10597,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10598,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10598,16,16,16,16,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10599,36,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10599,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,49
10600,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
10600,22,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,1,43,49
