NaN,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
10950,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10951,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10951,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10952,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10952,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10953,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10953,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10954,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10954,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10955,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10955,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10956,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10956,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10957,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10957,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10958,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10958,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10959,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10959,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10960,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10960,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10961,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10961,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10962,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10962,10,10,10,10,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10963,10,10,10,10,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10963,10,10,10,10,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10964,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10964,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10965,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10965,17,17,17,17,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10966,48,48,47,47,47,47,47,47,47,47,47,47,47,20,20,20,20,20,49,49,49,49
10966,11,11,11,10,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10967,11,11,11,10,17,17,17,17,17,17,17,17,17,18,49,49,49,49,49,49,49,49
10967,30,30,30,30,23,23,23,23,23,23,24,24,31,31,31,31,43,43,43,43,43,49
10968,37,37,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,49
10968,37,37,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,49
10969,37,37,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,49
10969,37,37,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,49
10970,37,37,37,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,49
10970,30,30,30,30,23,23,23,23,23,23,24,24,31,31,31,31,43,43,43,43,43,49
10971,30,30,30,30,23,23,23,23,23,23,24,24,31,31,31,31,43,43,43,43,43,49
