NaN,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
10700,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10701,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10701,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10702,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10702,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10703,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10703,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10704,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10704,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10705,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10705,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10706,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10706,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10707,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10707,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10708,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10708,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10709,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10709,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10710,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10710,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10711,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10711,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10712,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10712,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10713,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10713,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10714,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10714,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10715,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10715,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10716,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10716,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10717,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10717,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10718,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10718,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10719,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,49,49
10719,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10720,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10720,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10721,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10721,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10722,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10722,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10723,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10723,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10724,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10724,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10725,14,14,14,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,49,49
10725,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,49,49,49,49
10726,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10726,4,4,4,4,4,4,4,4,4,4,4,4,4,15,15,15,1,43,43,49
10727,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10727,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,43,43,49
10728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10729,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10729,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10730,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,15,1,43,43,49
10730,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,15,1,43,43,49
10731,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10731,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10732,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10732,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10733,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10733,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10734,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10734,36,36,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10735,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10735,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10736,37,37,36,36,36,44,44,44,43,43,43,43,43,43,43,43,43,43,43,49
10736,30,23,23,23,23,23,23,24,31,31,31,31,31,31,43,43,43,43,43,49
10737,30,23,23,23,23,23,23,24,31,31,31,31,31,31,43,43,43,43,43,49
10737,22,22,22,16,16,16,29,29,29,29,15,15,15,15,15,15,1,43,43,49
10738,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10738,10,17,17,17,17,17,17,17,17,18,18,18,49,49,49,49,49,49,49,49
10739,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10739,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10740,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10740,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10741,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10741,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10742,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10742,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10743,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10743,10,17,17,17,17,17,17,17,17,18,18,18,49,49,49,49,49,49,49,49
10744,10,17,17,17,17,17,17,17,17,18,18,18,49,49,49,49,49,49,49,49
10744,10,17,17,17,17,17,17,17,17,18,18,18,49,49,49,49,49,49,49,49
10745,10,17,17,17,17,17,17,17,17,18,18,18,49,49,49,49,49,49,49,49
10745,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10746,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10746,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10747,6,6,6,6,5,5,5,5,5,5,5,49,49,49,49,49,49,49,49,49
10747,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,43,43,49
10748,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,43,43,49
10748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10749,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10749,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10750,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10750,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10751,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10751,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,43,49
10753,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10753,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
10754,8,8,8,8,8,8,8,8,3,3,3,4,4,15,15,15,1,43,43,49
